"Distance quakes/tectonic_plates","Distance uniform_law/tectonic_plates"
109025.837170563,507965.406392547
14155.8065480205,1793061.95835345
207476.696355217,199867.101972555
130900.576846322,1112424.37637436
310547.962775912,1883723.7777043
998128.006756799,981604.545322339
91116.0152413268,2203661.26635194
61173.3668675211,1015852.65927056
18722.4820634942,1171858.81501516
226262.080673441,2693003.02170837
90884.9534684875,541613.900015735
76437.769968602,890797.920680061
194912.807988713,168310.433876554
59544.017715878,2068410.20534838
116019.350969156,2388886.7100996
35879.6570946499,698930.588397198
222429.12675225,355553.444495546
103627.848733207,910700.027686794
97553.8142575326,411528.023312813
72848.702491465,1252123.91118276
97464.689387025,1784977.18133081
90609.4315927156,107975.847249277
262039.545236067,719213.928787304
25490.7304072391,312062.231985954
76182.4967065966,1213650.00804216
55368.0099896455,51987.6942193851
101401.236261278,2405880.84325036
107194.674378177,2368160.67971699
46082.8661227767,32463.5629551678
47209.8864805734,2073281.05701088
68109.6905692902,174975.188550454
37509.7606324967,18309.283861684
12550.2522707806,2602002.87598073
9783.16967260438,3460690.87752287
18394.4715941704,1249607.4717875
125924.316303764,2288810.89331649
113232.439468249,2086546.52658118
96934.1382626704,252701.883196577
29519.6194252166,928148.359233741
84691.8678728823,3036520.69215044
20127.4650261595,2646848.38228043
562601.228263845,2459774.65524875
87590.4104444728,723224.347059952
4997.45117818846,1661541.03030772
99994.2654275187,931361.068471487
400090.723940913,1099494.96014248
69985.016917625,2195245.32746671
112414.128267443,14581.1638986968
16204.1574054497,3843385.48425821
16636.043933587,1284763.91980163
59020.4641418129,2614415.70478255
14775.6991891643,936857.773581613
85865.9722009715,2197990.84330458
102873.356833733,2038875.51051317
35916.8860796466,1983706.81804419
102581.089712386,3217148.34089464
536671.279656632,1171188.71320033
40858.685402785,218831.401267684
20269.2330754389,1114047.97006337
112428.634699327,1229962.57971324
19770.7837280825,531178.280075013
181741.712096548,2485041.31756088
371755.883980356,908786.633290591
374440.290237499,753082.801872185
52234.5048888769,3423008.91874314
331068.41977053,78310.7918004027
65849.4956405733,1083151.2511572
280424.551499553,121712.645278925
97522.5000421606,62455.2256025702
46341.2883957319,1827997.98904214
279570.148683888,1571714.68853787
27618.7964759997,2097909.94367849
41454.0536997499,1899336.9284788
15799.3112988227,1586374.46234129
98434.3454059706,1479763.22445152
110378.748305382,3552596.87739988
19094.8764678715,750085.63368997
47623.2930686684,947831.902116388
81704.6487126396,1070877.99680369
81924.8744256856,630578.527131964
99409.5982004396,347137.563355612
87263.816729258,861499.709897802
99901.5268405801,625232.03286257
77687.3127119121,1874094.5798254
109583.580177014,2792316.54928325
46663.9113820067,1935566.77614738
103273.694290617,42516.417137582
106317.844013188,243592.358427121
58586.5061967916,52650.1972438886
64921.6906658187,521242.11348212
110811.995370674,2320205.17477605
73512.4222249217,1790577.50412306
111954.000820543,1663407.00497612
51615.2487066283,1878492.86617302
95304.3484836433,792926.095759826
37747.0924586915,1658988.19863801
33331.8956250789,1008071.29017896
47884.4927317473,17333.2351304008
64611.4254299763,310084.036609976
99776.8225700224,1508086.73476507
285077.938230748,69583.5906520042
59312.3253047351,836297.993236493
209355.536280506,218986.886032221
22330.6596862767,2210830.35890337
88581.6136232492,1097251.53819289
53015.8402608011,40742.5465007457
83920.9083668282,77233.9107422286
52197.3993617188,964300.634241631
188381.791905111,2234786.19110436
93533.4629986588,1113756.0832493
84899.9203725106,2455606.90896216
62500.3192415791,187257.581467759
213339.695563889,266522.877859189
148309.691331913,124916.88696452
169859.33848694,788726.648026975
45319.816347079,202677.383943525
14608.3868188486,2567705.07618525
11648.9574233345,1502854.2483613
70435.7168530846,749076.722012728
24675.1328303804,2363656.2698723
44504.7008212715,118450.698858054
80074.5068557925,595303.232545354
132006.19330222,568429.475179245
98779.3537451299,865066.879112563
98099.2326534222,15682.9635584359
113350.087470774,1662454.06795496
38454.3823992829,1162453.64111618
28667.1692303195,2075430.50721766
352752.359036108,390566.583728
65448.4772812901,381948.398187284
110468.962957665,1088798.43405653
75416.6259773566,634986.490469781
75793.7380806846,666607.845658743
32053.3274551566,2362534.45771276
71858.8994900029,149228.733138055
57550.6405943816,212766.602830695
61492.4799547435,2364465.23101782
79508.6759608338,1238271.66419653
114486.614702605,309425.188279979
30916.3907542795,89179.2363594302
90836.767139797,2230861.66639186
27125.8870181085,861386.449829156
672326.087018049,944920.679143027
40289.0140606482,313726.208904446
70433.4754569426,2193833.52496193
48908.4020808092,367261.03223783
21507.5480901537,1541033.89085001
53614.2373952954,1528477.78308395
107227.638131116,177288.160272865
130145.344018064,213867.141601025
236721.123333923,63602.4644190875
121138.740285677,463858.96338133
222319.257393252,449433.104429604
56297.1484144158,2815962.68629739
382057.419722646,134108.670346194
41156.0216525714,892763.680424325
31262.067808292,2026679.85633754
3505.07918669626,737560.292145361
191143.522912783,183488.940676705
1471554.90488004,260588.552472686
410358.242093453,612035.706068228
134920.507290443,405032.43268112
23437.5740844925,2500405.85127441
40152.5441639941,1188845.18378464
39240.9958621431,1130390.59372565
20900.8562574619,1845834.21264979
80404.7757870453,1882375.36720575
119487.675308435,765761.076877262
148867.462672831,1293883.76229998
82723.8785478408,810956.539023116
58507.4468270114,216126.49744564
136434.226039398,368900.911582997
102822.660541133,327362.067723832
190013.076089299,1500597.08274317
108624.219364193,2661001.83868156
201830.869866367,416538.441873254
91018.3928229721,2866153.18855668
55884.5286849301,1595059.5585719
237669.260773347,3948295.63779088
135344.817125001,395248.661609911
232539.075665944,616235.727740115
30633.4419290464,1192688.69444743
104001.600796956,58388.5015901026
20773.594866334,209608.633275198
22846.4814722927,850220.08085169
46435.1130818502,249722.876984952
80325.2611725281,2696520.28236238
171577.013822381,780139.819763081
81436.8127443073,2472322.25231239
64196.6593619791,895058.183996753
64130.9656123971,605232.583902883
19051.9934612267,875321.540577164
64602.5443154146,631733.067902656
42843.5577152306,238402.424263221
257981.424527146,265932.479415337
25480.2420976489,185673.087773936
251764.765261819,89934.2795298758
86990.7461929801,29036.844202864
116410.46576628,1906254.32696194
140664.439893364,1740772.49407561
246782.393293073,1537739.23933369
37873.9549831742,2026880.70254063
100307.773081685,1910435.2041241
41091.9998452228,1882438.8480518
90424.6737322352,818586.206096511
83394.6089639221,1852543.49904595
23219.0762431997,2774082.97157286
62090.8030815688,699703.885759162
51403.3766449638,233990.042565694
91448.8237341305,852170.491761626
149844.402814078,231159.157562862
205936.179780551,434566.506659528
381000.884781658,1710515.63695025
56553.6004311597,354820.442373497
42586.6220037681,315218.340849768
23541.1950827584,1249472.14730618
156508.417314379,1085280.86067119
76806.540903024,558645.143970537
220850.901160242,565976.248168053
180438.554760223,1297923.89430091
35171.2558381138,344046.592271707
20999.6585616219,1220787.71883467
74708.2173480638,1044530.30862079
160052.752111134,764445.771449847
20261.3652622451,1929711.3609403
89716.0445111967,82007.8933777131
14333.7113050665,1348869.37154978
220922.215528692,1792178.32595855
79420.217458739,484485.18223891
29872.9722934999,1827856.86831957
34258.5191296431,1607445.31125472
378005.097339289,1443609.75889212
29755.5054531834,214032.573496775
25057.0610671217,225722.606109278
67650.3566456808,327060.13634877
38248.7952471241,1968760.4781892
102235.731403024,1669155.92528465
93920.9110326886,318879.350213707
122339.550306945,1214439.9550091
131136.300769436,2844429.84766145
114545.255682484,2248082.87923783
101330.375056762,251007.016588344
255036.658998886,1182037.65802304
249930.755810213,909296.815549343
259264.793293987,165939.478074677
44335.5975480479,939646.756998609
24201.3281141846,965728.125240017
10683.0934588832,1299641.85670674
170350.716960591,3181294.92916218
48983.2146277616,901406.475622941
275074.867186539,520912.837937899
26348.2315066633,1622449.11657751
44915.3030521455,588421.842603617
74370.5624486724,1000416.22954673
301425.41148059,1974389.91705582
302591.087712908,1739396.09225779
56582.8352854484,711107.291206279
35575.6335634672,443105.240526168
299814.354993764,2575706.99891078
296384.655586206,1021152.16900793
86307.0451918424,64056.8127491222
67626.8504043182,1066239.23252246
293821.75115036,1395191.18608896
148901.09813464,1065369.57362131
90468.7759063733,2522213.84870882
40500.0918900233,1467801.67463903
124181.278328654,973711.337025488
96566.5268304366,135594.071947676
159938.25792098,2026999.79819345
83668.2051429582,243213.131425667
54221.2561838389,2338973.04943072
154879.78102732,2973122.34584537
87762.3077720701,292007.602102903
171808.57306076,2215625.29104285
127670.548495998,2339129.77501282
125842.937315586,586489.042589073
57361.862242147,1223810.68099044
619392.711691434,292171.590321862
16430.898670765,150000.862057614
28230.4947921997,31868.0862297974
103519.546245893,2686963.15242192
131968.038548998,66577.9842798404
168694.861027953,418654.577443554
185136.843164015,546538.562725149
471099.605490973,249263.335904488
105880.89410331,2318893.51271942
295046.404906132,257486.242447195
60384.3970562649,827781.44100784
25286.2474341714,76837.0704379416
60574.2907891191,635946.762870041
57969.6243438992,2060970.25908401
68863.2661477691,707827.837846008
55490.90019517,1391659.65456774
103268.007635163,454977.112577065
72389.7893382176,1884814.09550428
29104.9269906487,1220822.41308101
27795.6181770742,835731.248640715
104640.164527162,368288.892606771
66680.7409031407,1562805.14348879
189507.037222744,1149452.58493099
225490.953355916,539365.157376858
69735.2667267115,498212.494089142
33164.4355823467,1232564.18674898
54325.1280712617,1072017.16904542
5968.18304250858,16043.3608736547
61626.4249944777,94334.8992457765
19755.0128721924,48463.0957595044
29891.9924966313,86180.4024351619
111799.491096388,2061154.03853348
84276.5366284392,19939.6508772974
160360.669968756,246002.256454594
223569.607710865,1171970.9077232
36112.2520871349,1394652.15501565
55190.5460312385,304267.145629205
67604.8578376597,81686.0352644677
48489.1269622965,383370.762729281
123607.793281049,1369973.33156383
101599.353140794,1883857.56058132
25400.5436106326,1704019.36803607
145315.923671671,40751.5670919819
60592.2997514565,125209.670210926
93200.6939213184,133266.27942372
82706.1073973454,809342.790689403
64597.606121458,2452804.60883461
31494.6051712688,206769.965641261
71551.0992762651,1116024.75207279
48604.3145206861,273172.09030048
127003.335394176,162200.269747353
65660.6143014951,2129684.57668386
72678.6269992996,83479.0557580264
89703.5408113923,2485908.68848807
76418.6727408009,632596.734475493
52349.8098778905,946494.329375013
38946.0572925684,1312790.56599255
86950.7873656094,328646.310685461
147187.154885076,255360.869456497
154583.596986819,2166058.05526767
101474.825800352,1025462.18606349
29842.4482967138,1537821.69703077
436300.739938516,621901.413895051
99815.7228930992,542262.372436541
87895.1552250333,9614.34705960124
193687.807032726,2941347.87777184
81619.5063184461,1847850.17056811
140980.606665588,2330478.52442051
45539.3504893294,15312.8832254968
35844.5547962519,1837617.39620177
29394.3195369363,563236.343686327
41704.4874280615,1491124.56335028
76897.314431791,323593.156758795
44702.5214925958,1115398.90897399
